uav_id,step,i,j,x,y
0,0,0,0,-25.00,-25.00
0,1,1,0,-25.00,25.00
0,2,2,1,25.00,75.00
0,3,3,1,25.00,125.00
0,4,4,2,75.00,175.00
0,5,5,2,75.00,225.00
0,6,6,2,75.00,275.00
0,7,7,2,75.00,325.00
0,8,8,2,75.00,375.00
0,9,9,2,75.00,425.00
0,10,10,2,75.00,475.00
0,11,11,2,75.00,525.00
0,12,12,2,75.00,575.00
0,13,11,3,125.00,525.00
0,14,11,4,175.00,525.00
0,15,11,5,225.00,525.00
0,16,11,6,275.00,525.00
0,17,11,7,325.00,525.00
0,18,11,8,375.00,525.00
0,19,11,9,425.00,525.00
0,20,11,10,475.00,525.00
0,21,11,11,525.00,525.00
0,22,11,12,575.00,525.00
0,23,11,13,625.00,525.00
0,24,11,14,675.00,525.00
0,25,11,15,725.00,525.00
0,26,11,16,775.00,525.00
0,27,11,17,825.00,525.00
0,28,11,18,875.00,525.00
0,29,11,19,925.00,525.00
0,30,11,20,975.00,525.00
0,31,11,21,1025.00,525.00
0,32,11,22,1075.00,525.00
0,33,11,23,1125.00,525.00
0,34,11,24,1175.00,525.00
0,35,11,25,1225.00,525.00
0,36,11,26,1275.00,525.00
0,37,11,27,1325.00,525.00
0,38,11,28,1375.00,525.00
0,39,10,28,1375.00,475.00
0,40,9,28,1375.00,425.00
0,41,8,27,1325.00,375.00
0,42,8,26,1275.00,375.00
0,43,8,25,1225.00,375.00
0,44,8,24,1175.00,375.00
0,45,8,23,1125.00,375.00
0,46,8,22,1075.00,375.00
0,47,8,21,1025.00,375.00
0,48,8,20,975.00,375.00
0,49,8,19,925.00,375.00
0,50,8,18,875.00,375.00
0,51,8,17,825.00,375.00
0,52,8,16,775.00,375.00
0,53,8,15,725.00,375.00
0,54,8,14,675.00,375.00
0,55,8,13,625.00,375.00
0,56,8,12,575.00,375.00
0,57,8,11,525.00,375.00
0,58,8,10,475.00,375.00
0,59,8,9,425.00,375.00
0,60,8,8,375.00,375.00
0,61,8,7,325.00,375.00
0,62,8,6,275.00,375.00
0,63,8,5,225.00,375.00
0,64,8,4,175.00,375.00
0,65,8,3,125.00,375.00
0,66,7,4,175.00,325.00
0,67,6,3,125.00,275.00
0,68,5,3,125.00,225.00
0,69,6,4,175.00,275.00
0,70,7,3,125.00,325.00
0,71,7,4,175.00,325.00
0,72,7,5,225.00,325.00
0,73,6,6,275.00,275.00
0,74,5,7,325.00,225.00
0,75,5,8,375.00,225.00
0,76,5,9,425.00,225.00
0,77,5,10,475.00,225.00
0,78,5,11,525.00,225.00
0,79,5,12,575.00,225.00
0,80,5,13,625.00,225.00
0,81,5,14,675.00,225.00
0,82,5,15,725.00,225.00
0,83,5,16,775.00,225.00
0,84,5,17,825.00,225.00
0,85,5,18,875.00,225.00
0,86,5,19,925.00,225.00
0,87,5,20,975.00,225.00
0,88,5,21,1025.00,225.00
0,89,5,22,1075.00,225.00
0,90,5,23,1125.00,225.00
