S0 形状: (24, 32), ROI 格子数: 498
N_UAV=2, NUM_EPISODES=8000, MAX_STEPS=1500
eps_start=0.3, eps_end=0.02, eps_decay=0.9995
[EP 0086] INVALID steps=1500 reward= -508.16 覆盖率=97.8%
[EP 0087] INVALID steps=1500 reward=-2063.23 覆盖率=63.9%
[EP 0088] INVALID steps=1500 reward= -494.05 覆盖率=98.0%
[EP 0089] INVALID steps=1500 reward= -554.61 覆盖率=97.4%
[EP 0090] INVALID steps=1500 reward= -515.37 覆盖率=96.4%
[EP 0091] INVALID steps=1500 reward= -523.71 覆盖率=94.4%
[EP 0092] INVALID steps=1500 reward= -482.41 覆盖率=99.0%
[EP 0093] INVALID steps=1500 reward= -484.84 覆盖率=98.2%
[EP 0094] INVALID steps=1500 reward= -492.71 覆盖率=98.0%
[EP 0095] INVALID steps=1500 reward= -520.28 覆盖率=94.8%
[EP 0096] INVALID steps=1500 reward= -524.46 覆盖率=94.0%
[EP 0097] INVALID steps=1500 reward= -707.28 覆盖率=76.7%
[EP 0098] INVALID steps=1500 reward= -534.39 覆盖率=93.0%
[EP 0099] INVALID steps=1500 reward= -526.59 覆盖率=95.8%
[EP 0100] INVALID steps=1500 reward= -535.63 覆盖率=93.4%
[EP 0101] INVALID steps=1500 reward= -549.97 覆盖率=97.6%
[EP 0102] INVALID steps=1500 reward= -699.70 覆盖率=83.3%
[EP 0103] INVALID steps=1500 reward= -660.93 覆盖率=90.2%
[EP 0104] INVALID steps=1500 reward= -539.63 覆盖率=93.8%
[EP 0105] INVALID steps=1500 reward= -565.44 覆盖率=90.8%
[EP 0106] INVALID steps=1500 reward=-2043.19 覆盖率=68.1%
[EP 0107] INVALID steps=1500 reward= -503.15 覆盖率=98.2%
[EP 0108] INVALID steps=1500 reward= -521.73 覆盖率=99.2%
[EP 0109] INVALID steps=1500 reward= -521.67 覆盖率=95.8%
[EP 0110] INVALID steps=1500 reward= -508.30 覆盖率=98.0%
[EP 0111] INVALID steps=1500 reward= -518.72 覆盖率=95.0%
[EP 0112] INVALID steps=1500 reward= -489.98 覆盖率=99.0%
[EP 0113] INVALID steps=1500 reward= -572.84 覆盖率=97.4%
[EP 0114] INVALID steps=1500 reward= -521.03 覆盖率=98.0%
[EP 0115] INVALID steps=1500 reward=-2386.83 覆盖率=31.5%
[EP 0116] INVALID steps=1500 reward= -553.36 覆盖率=97.2%
[EP 0117] INVALID steps=1500 reward= -518.70 覆盖率=99.4%
[EP 0118] INVALID steps=1500 reward= -522.13 覆盖率=95.2%
[EP 0119] INVALID steps=1500 reward= -543.08 覆盖率=93.8%
[EP 0120] INVALID steps=1500 reward= -623.36 覆盖率=82.9%
[EP 0121] INVALID steps=1500 reward= -555.29 覆盖率=90.0%
[EP 0122] INVALID steps=1500 reward= -594.90 覆盖率=93.8%
[EP 0123] INVALID steps=1500 reward= -516.52 覆盖率=96.2%
[EP 0124] INVALID steps=1500 reward= -487.72 覆盖率=99.2%
[EP 0125] INVALID steps=1500 reward= -563.74 覆盖率=90.0%
[EP 0126] INVALID steps=1500 reward= -504.90 覆盖率=99.2%
[EP 0127] INVALID steps=1500 reward= -594.99 覆盖率=87.3%
[EP 0128] INVALID steps=1500 reward= -582.35 覆盖率=93.0%
[EP 0129] INVALID steps=1500 reward= -604.22 覆盖率=91.2%
[EP 0130] INVALID steps=1500 reward= -609.08 覆盖率=88.6%
[EP 0131] INVALID steps=1500 reward= -620.48 覆盖率=92.2%
[EP 0132] INVALID steps=1500 reward= -708.26 覆盖率=90.0%
[EP 0133] INVALID steps=1500 reward=-2311.72 覆盖率=39.8%
[EP 0134] INVALID steps=1500 reward= -611.75 覆盖率=94.4%
[EP 0135] INVALID steps=1500 reward= -528.55 覆盖率=94.8%
[EP 0136] INVALID steps=1500 reward= -503.97 覆盖率=97.8%
[EP 0137] INVALID steps=1500 reward= -612.44 覆盖率=86.3%
[EP 0138] INVALID steps=1500 reward= -543.84 覆盖率=91.4%
[EP 0139] INVALID steps=1500 reward= -557.70 覆盖率=93.0%
[EP 0140] INVALID steps=1500 reward= -652.16 覆盖率=95.8%
[EP 0141] INVALID steps=1500 reward= -505.00 覆盖率=99.2%
[EP 0142] INVALID steps=1500 reward= -736.57 覆盖率=89.4%
[EP 0143] INVALID steps=1500 reward= -668.21 覆盖率=92.0%
[EP 0144] INVALID steps=1500 reward= -592.41 覆盖率=91.6%
[EP 0145] INVALID steps=1500 reward= -564.01 覆盖率=88.8%
[EP 0146] INVALID steps=1500 reward= -886.01 覆盖率=54.8%
[EP 0147] INVALID steps=1500 reward= -534.52 覆盖率=96.6%
[EP 0148] INVALID steps=1500 reward= -513.66 覆盖率=97.2%
[EP 0149] INVALID steps=1500 reward= -615.50 覆盖率=92.8%
[EP 0150] INVALID steps=1500 reward= -519.52 覆盖率=98.6%
[EP 0151] INVALID steps=1500 reward= -595.66 覆盖率=89.8%
[EP 0152] INVALID steps=1500 reward= -527.72 覆盖率=95.6%
[EP 0153] INVALID steps=1500 reward= -490.64 覆盖率=98.2%
[EP 0154] INVALID steps=1500 reward= -503.78 覆盖率=98.0%
[EP 0155] INVALID steps=1500 reward= -524.99 覆盖率=93.6%
[EP 0156] INVALID steps=1500 reward= -511.21 覆盖率=95.0%
[EP 0157] INVALID steps=1500 reward= -529.04 覆盖率=95.4%
[EP 0158] INVALID steps=1500 reward= -535.10 覆盖率=96.4%
[EP 0159] INVALID steps=1500 reward= -534.98 覆盖率=93.8%
[EP 0160] INVALID steps=1500 reward= -574.87 覆盖率=88.6%
[EP 0161] INVALID steps=1500 reward= -532.44 覆盖率=94.4%
[EP 0162] INVALID steps=1500 reward= -505.16 覆盖率=97.8%
[EP 0163] INVALID steps=1500 reward= -593.74 覆盖率=86.9%
[EP 0164] INVALID steps=1500 reward= -658.89 覆盖率=89.8%
[EP 0165] INVALID steps=1500 reward= -572.27 覆盖率=96.0%
[EP 0166] INVALID steps=1500 reward= -526.58 覆盖率=97.8%
[EP 0167] INVALID steps=1500 reward= -568.32 覆盖率=97.8%
[EP 0168] INVALID steps=1500 reward= -565.18 覆盖率=98.4%
[EP 0169] INVALID steps=1500 reward= -523.47 覆盖率=94.2%
[EP 0170] INVALID steps=1500 reward= -503.72 覆盖率=96.8%
[EP 0171] INVALID steps=1500 reward= -533.17 覆盖率=97.0%
[EP 0172] INVALID steps=1500 reward= -525.49 覆盖率=96.0%
[EP 0173] INVALID steps=1500 reward= -513.86 覆盖率=99.0%
[EP 0174] INVALID steps=1500 reward= -523.26 覆盖率=96.6%
[EP 0175] INVALID steps=1500 reward= -599.84 覆盖率=97.2%
[EP 0176] INVALID steps=1500 reward= -529.89 覆盖率=94.0%
[EP 0177] INVALID steps=1500 reward= -492.31 覆盖率=98.8%
[EP 0178] INVALID steps=1500 reward= -512.28 覆盖率=95.6%
[EP 0179] INVALID steps=1500 reward= -510.53 覆盖率=97.4%
[EP 0180] INVALID steps=1500 reward= -512.34 覆盖率=94.4%
[EP 0181] INVALID steps=1500 reward= -537.23 覆盖率=94.8%
[EP 0182] INVALID steps=1500 reward= -522.14 覆盖率=95.0%
[EP 0183] INVALID steps=1500 reward= -503.76 覆盖率=97.4%
[EP 0184] INVALID steps=1500 reward= -503.70 覆盖率=98.2%
[EP 0185] INVALID steps=1500 reward= -539.92 覆盖率=95.8%
[EP 0186] INVALID steps=1500 reward= -499.53 覆盖率=96.2%
[EP 0187] INVALID steps=1500 reward= -581.43 覆盖率=99.0%
[EP 0188] INVALID steps=1500 reward= -479.10 覆盖率=99.8%
[EP 0189] INVALID steps=1500 reward= -563.46 覆盖率=98.0%
[EP 0190] INVALID steps=1500 reward= -703.79 覆盖率=90.6%
[EP 0191] INVALID steps=1500 reward= -504.84 覆盖率=98.2%
[EP 0192] INVALID steps=1500 reward= -497.54 覆盖率=97.2%
[EP 0193] INVALID steps=1500 reward= -487.42 覆盖率=97.8%
[EP 0194] INVALID steps=1500 reward= -507.21 覆盖率=94.4%
[EP 0195] INVALID steps=1500 reward=-1827.86 覆盖率=85.9%
[EP 0196] INVALID steps=1500 reward= -522.39 覆盖率=95.2%
[EP 0197] INVALID steps=1500 reward= -500.35 覆盖率=95.8%
[EP 0198] INVALID steps=1500 reward= -657.24 覆盖率=84.3%
[EP 0199] INVALID steps=1500 reward= -522.31 覆盖率=93.0%
[EP 0200] INVALID steps=1500 reward= -511.06 覆盖率=96.4%
[EP 0201] INVALID steps=1500 reward= -495.83 覆盖率=97.2%
[EP 0202] INVALID steps=1500 reward= -563.68 覆盖率=94.4%
[EP 0203] INVALID steps=1500 reward= -489.67 覆盖率=98.0%
[EP 0204] INVALID steps=1500 reward= -499.23 覆盖率=97.8%
[EP 0205] INVALID steps=1500 reward= -494.22 覆盖率=98.2%
[EP 0206] INVALID steps=1500 reward= -503.73 覆盖率=97.6%
[EP 0207] INVALID steps=1500 reward= -529.12 覆盖率=93.0%
[EP 0208] INVALID steps=1500 reward= -537.04 覆盖率=97.2%
[EP 0209] INVALID steps=1500 reward= -536.56 覆盖率=92.0%
[EP 0210] INVALID steps=1500 reward= -531.26 覆盖率=93.2%
[EP 0211] INVALID steps=1500 reward= -663.75 覆盖率=80.1%
[EP 0212] INVALID steps=1500 reward= -482.56 覆盖率=99.2%
[EP 0213] INVALID steps=1500 reward= -569.80 覆盖率=93.8%
[EP 0214] INVALID steps=1500 reward= -629.38 覆盖率=86.3%
[EP 0215] INVALID steps=1500 reward= -566.91 覆盖率=92.4%
[EP 0216] INVALID steps=1500 reward= -527.06 覆盖率=95.8%
[EP 0217] INVALID steps=1500 reward= -590.32 覆盖率=93.0%
[EP 0218] INVALID steps=1500 reward= -607.05 覆盖率=87.8%
[EP 0219] INVALID steps=1500 reward= -620.69 覆盖率=92.8%
[EP 0220] INVALID steps=1500 reward= -582.82 覆盖率=86.3%
[EP 0221] INVALID steps=1500 reward=-2270.92 覆盖率=44.0%
[EP 0222] INVALID steps=1500 reward= -616.10 覆盖率=88.4%
[EP 0223] INVALID steps=1500 reward= -576.00 覆盖率=96.6%
[EP 0224] INVALID steps=1500 reward= -567.17 覆盖率=93.2%
[EP 0225] INVALID steps=1500 reward= -518.02 覆盖率=98.0%
[EP 0226] INVALID steps=1500 reward= -495.54 覆盖率=99.4%
[EP 0227] INVALID steps=1500 reward=-2028.24 覆盖率=63.3%
[EP 0228] INVALID steps=1500 reward= -584.33 覆盖率=91.4%
[EP 0229] INVALID steps=1500 reward= -502.99 覆盖率=99.0%
[EP 0230] INVALID steps=1500 reward= -568.89 覆盖率=90.4%
[EP 0231] INVALID steps=1500 reward= -523.85 覆盖率=96.6%
[EP 0232] INVALID steps=1500 reward= -503.39 覆盖率=97.8%
[EP 0233] INVALID steps=1500 reward= -506.36 覆盖率=96.2%
[EP 0234] INVALID steps=1500 reward= -502.46 覆盖率=99.0%
[EP 0235] INVALID steps=1500 reward= -479.24 覆盖率=99.2%
[EP 0236] INVALID steps=1500 reward= -523.23 覆盖率=94.2%
[EP 0237] INVALID steps=1500 reward= -561.79 覆盖率=96.8%
[EP 0238] INVALID steps=1500 reward= -483.95 覆盖率=98.2%
[EP 0239] INVALID steps=1500 reward= -502.39 覆盖率=98.2%
[EP 0240] INVALID steps=1500 reward= -587.72 覆盖率=83.7%
[EP 0241] INVALID steps=1500 reward= -505.88 覆盖率=98.6%
[EP 0242] INVALID steps=1500 reward= -482.29 覆盖率=98.0%
[EP 0243] INVALID steps=1500 reward= -577.87 覆盖率=89.4%
[EP 0244] INVALID steps=1500 reward= -507.56 覆盖率=96.2%
