uav_id,step,i,j,x,y
0,0,0,0,-25.00,-25.00
0,1,1,0,-25.00,25.00
0,2,2,1,25.00,75.00
0,3,3,1,25.00,125.00
0,4,4,1,25.00,175.00
0,5,5,1,25.00,225.00
0,6,6,1,25.00,275.00
0,7,7,2,75.00,325.00
0,8,7,3,125.00,325.00
0,9,7,4,175.00,325.00
0,10,7,5,225.00,325.00
0,11,7,6,275.00,325.00
0,12,7,7,325.00,325.00
0,13,7,8,375.00,325.00
0,14,7,9,425.00,325.00
0,15,7,10,475.00,325.00
0,16,7,11,525.00,325.00
0,17,7,12,575.00,325.00
0,18,7,13,625.00,325.00
0,19,7,14,675.00,325.00
0,20,7,15,725.00,325.00
0,21,7,16,775.00,325.00
0,22,7,17,825.00,325.00
0,23,7,18,875.00,325.00
0,24,7,19,925.00,325.00
0,25,7,20,975.00,325.00
0,26,7,21,1025.00,325.00
0,27,7,22,1075.00,325.00
0,28,7,23,1125.00,325.00
0,29,7,24,1175.00,325.00
0,30,7,25,1225.00,325.00
0,31,7,26,1275.00,325.00
0,32,7,27,1325.00,325.00
0,33,8,27,1325.00,375.00
0,34,8,26,1275.00,375.00
0,35,9,25,1225.00,425.00
0,36,9,24,1175.00,425.00
0,37,9,23,1125.00,425.00
0,38,9,22,1075.00,425.00
0,39,9,21,1025.00,425.00
0,40,9,20,975.00,425.00
0,41,9,19,925.00,425.00
0,42,9,18,875.00,425.00
0,43,9,17,825.00,425.00
0,44,9,16,775.00,425.00
0,45,9,15,725.00,425.00
0,46,9,14,675.00,425.00
0,47,9,13,625.00,425.00
0,48,9,12,575.00,425.00
0,49,9,11,525.00,425.00
0,50,9,10,475.00,425.00
0,51,9,9,425.00,425.00
0,52,9,8,375.00,425.00
0,53,9,7,325.00,425.00
0,54,9,6,275.00,425.00
0,55,9,5,225.00,425.00
0,56,9,4,175.00,425.00
0,57,9,3,125.00,425.00
0,58,9,2,75.00,425.00
0,59,9,1,25.00,425.00
0,60,8,2,75.00,375.00
0,61,7,1,25.00,325.00
0,62,6,2,75.00,275.00
0,63,6,3,125.00,275.00
0,64,5,2,75.00,225.00
0,65,4,3,125.00,175.00
0,66,4,4,175.00,175.00
0,67,4,5,225.00,175.00
0,68,4,6,275.00,175.00
0,69,4,7,325.00,175.00
0,70,3,8,375.00,125.00
0,71,4,9,425.00,175.00
0,72,4,8,375.00,175.00
0,73,3,7,325.00,125.00
0,74,2,6,275.00,75.00
0,75,2,5,225.00,75.00
0,76,1,4,175.00,25.00
0,77,2,4,175.00,75.00
0,78,2,3,125.00,75.00
0,79,1,4,175.00,25.00
0,80,2,4,175.00,75.00
0,81,2,3,125.00,75.00
0,82,2,2,75.00,75.00
0,83,2,1,25.00,75.00
0,84,3,1,25.00,125.00
0,85,4,1,25.00,175.00
0,86,5,1,25.00,225.00
0,87,6,1,25.00,275.00
0,88,7,1,25.00,325.00
0,89,8,1,25.00,375.00
0,90,9,1,25.00,425.00
0,91,10,2,75.00,475.00
